Actual Item Name & Use,Quantity,Order,Cost,Notes,Link to Buy,Status,Order date
Arduino Nano,3,"1pcs Nano V3.0 Board with Cable ATmega328P MCU CH340G Chip 5V 16M Microcontroller Compatible with Arduino Nano (Soldered, Type-C Port)",$7.99,,https://www.amazon.com/YELUFT-ATmega328P-Microcontroller-Mini-USB/dp/B0DWMQVCRF/ref=sr_1_9?crid=3N1J84LJP6D8T&dib=eyJ2IjoiMSJ9.l25zh--muurGeoTSJmeooOXaF8A63oJ3_c-9fVVcHog5BGa4Lu2sPUkQxNLwgIW9jzwkfb0FuKb-xdIJ7CoDm4nfWcg_hOse8iSX0BVdCoWrOft-FsZH_LRwnKvv2QNP8DzT_T0FBm2K6c1-ryUEguuDBPjfuYehwj9scuuCvK3hnk_tx6lNvgV1F00UnO9U56-RpO-24WSspVKbrjiBYbu_g6KfBlel1uN68UF1GBK7dsJkTn6oMsSCKJ0GVjl3qGr4at7lzIT2sfEbrdl445vNXnM15akMi2Rq827A9Gc.wGK8uIL5xv32oeMyIoTqSfKMEPixhKiYXT65sDOd9bU&dib_tag=se&keywords=Arduino%2BNano%2BV3.0%2Bwith%2Bheaders&qid=1750405718&s=industrial&sprefix=arduino%2Bnano%2Bv3.0%2Bwith%2Bheaders%2Cindustrial%2C245&sr=1-9&th=1,Approved,
	IRLZ44N MOSFET,1,IRLZ44NPBF,$1.30,,https://www.digikey.com/en/products/detail/infineon-technologies/IRLZ44NPBF/811808,Approved,
	L293D Motor Driver IC,1,L293D,$7.85,,https://www.digikey.com/en/products/detail/stmicroelectronics/L293D/634700,Approved,
	10K Potentiometer (Vertical Mount),1,PT10WV10-103A2020-3-NE-S,$0.78,,https://www.digikey.com/en/products/detail/amphenol-piher-sensing-systems/PT10WV10-103A2020-3-NE-S/13244529?gad_source=1&gad_campaignid=20243136172&gbraid=0AAAAADrbLljQ6ae9GtqJU8Qi6yQqZdeEQ&gclid=Cj0KCQjwjdTCBhCLARIsAEu8bpKEUfNeJhMs6WRIgIcLK17HQyBX3QXcHx0sI51iWuGOn8gcYR4reZ4aAh5HEALw_wcB&gclsrc=aw.ds,Approved,
	MK8 Hotend Heating Kit,1,1 Pcs 3D Printer Part 12V 24V Assembled Extruder Hotend Kit MK8 Nozzle Aluminum Heat Block/Fit for Creality Ender-3/CR-10/CR-10 Pro(for CR10 Pro 24V),$17.35,,https://www.amazon.com/KITQLPG-Assembled-Extruder-Aluminum-Creality/dp/B0DM1XC4MV/ref=sr_1_7?crid=1GE63CO4X2I03&dib=eyJ2IjoiMSJ9.1sTw7q0blSYTkI2YdtyXIF6r6eS1UPCfpMMrMzdQ3O2vPv8Q2_ke6nCaoIZurI6kA4nVzLIayCC3nMHq97cGw87BuRVNYd5dtnQfQIYzN2dyn5O7bk-8xmRiPRiBSt_OQbNnVPVvXxPNRM5mBcpmVl9Z0rYFVjX7363TjlFGGUGgphZ1rK8WO17pZ28ssokofxpMSGD0rIxDQLPzGGy-l6u-Ao9eU0aV5-fw6NNLC__okYzfG0cr7Xzs_SkJWiLKnIHSE3mUL_0vAQ0s4FUm0MpId8ATXTyihLFomqIwhP4.FgA4OCpQMqMa4RdHlC55trs-xEOYAF8lMCT4hApZ1A8&dib_tag=se&keywords=MK8%2BHotend%2BHeating%2BKit%2B12V&qid=1750499927&s=industrial&sprefix=mk8%2Bhotend%2Bheating%2Bkit%2B12v%2Cindustrial%2C401&sr=1-7&th=1,Approved,
	12V 2A Power Adapter,1,N/A,$0.00,Already Own,N/A,Delivered,
	220 Ohm Resistor,1,MBA02040C2203FRP00,$0.10,,https://www.digikey.com/en/products/detail/vishay-beyschlag-draloric-bc-components/MBA02040C2203FRP00/336479,Approved,
	10K Resistor,2,RNF14FTD1K00,$0.20,,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RNF14FTD1K00/1706678,Approved,
100µF 16V Electrolytic Capacitor,2,860020372006,$0.24,,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/860020372006/5727030,Approved,
	0.1µF Ceramic Capacitor,2,C320C104K5R5TA,$0.44,,https://www.digikey.com/en/products/detail/kemet/C320C104K5R5TA/818040,Approved,
